Username,Balance,Bank,Predicted Deposit,Time
Username,Balance,Bank,Predicted Deposit,Time
Username,Balance,Bank,Predicted Deposit,Time
Username,Balance,Bank,Predicted Deposit,Time
Username,Balance,Bank,Predicted Deposit,Time
Username,Balance,Bank,Predicted Deposit,Time
Username,Balance,Bank,Predicted Deposit,Time
Username,Balance,Bank,Predicted Deposit,Time
Username,Balance,Bank,Predicted Deposit,Time
Username,Balance,Bank,Predicted Deposit,Time
Username,Balance,Bank,Predicted Deposit,Time
Username,Balance,Bank,Predicted Deposit,Time
Username,Balance,Bank,Predicted Deposit,Time
Username,Balance,Bank,Predicted Deposit,Time
ccyenoc,1420.0,RHB,0.0,
ccyenoc,1420.0,RHB,36.92
ccyenoc,1420.0,RHB,36.92
ccyenoc,1420.0,MayBank,35.5
ccyenoc,1420.0,RHB,36.92,Fri Dec 27 01:20:00 MYT 2024
ccyenoc,1420.0,RHB,36.92,Sat Dec 28 15:33:39 MYT 2024
ccyenoc,1420.0,HongLeong,32.66,Sat Dec 28 15:49:42 MYT 2024
ccyenoc,1420.0,RHB,36.92,Sat Dec 28 16:26:54 MYT 2024
ccyenoc,1420.0,MayBank,35.5,Sat Dec 28 16:30:18 MYT 2024
ccyenoc,1420.0,RHB,36.92,Sat Dec 28 16:31:09 MYT 2024
ccyenoc,1420.0,Allaince,37.629999999999995,Sat Dec 28 16:31:13 MYT 2024
